isbn,title,subtitle,author,publisher,publication_date
9780132350884,Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin,Prentice Hall,2008-08-01
9780321125217,Domain-Driven Design,Tackling Complexity in the Heart of Software,Eric Evans,Addison-Wesley,2003-08-30
9780131103627,The C Programming Language,2nd Edition,"Brian W. Kernighan, Dennis M. Ritchie",Prentice Hall,1988-03-22
9780201616224,The Pragmatic Programmer,From Journeyman to Master,"Andrew Hunt, David Thomas",Addison-Wesley,1999-10-30
9781491950357,Designing Data-Intensive Applications,,Martin Kleppmann,O'Reilly Media,2017-03-16
9780201633610,Design Patterns,Elements of Reusable Object-Oriented Software,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides",Addison-Wesley,1994-10-21
9780596007126,Head First Design Patterns,,"Eric Freeman, Bert Bates, Kathy Sierra, Elisabeth Robson",O'Reilly Media,2004-10-25
9780134685991,Effective Java,3rd Edition,Joshua Bloch,Addison-Wesley,2018-01-06
9781617294945,Spring in Action,5th Edition,Craig Walls,Manning,2018-10-05
9780596009205,Head First Java,2nd Edition,"Kathy Sierra, Bert Bates",O'Reilly Media,2005-02-09
9780596009206,Learning Python,Powerful Object-Oriented Programming,Mark Lutz,O'Reilly Media,2013-06-12
9781492078005,Kubernetes: Up and Running,Dive into the Future of Infrastructure,"Kelsey Hightower, Brendan Burns, Joe Beda",O'Reilly Media,2021-01-20
9781449331818,Learning JavaScript Design Patterns,,Addy Osmani,O'Reilly Media,2012-08-30
9781449361327,Fluent Python,"Clear, Concise, and Effective Programming",Luciano Ramalho,O'Reilly Media,2015-08-20
9781492056300,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Concepts, Tools, and Techniques",Aurélien Géron,O'Reilly Media,2019-10-15
9781617294946,Microservices in Action,,"Morgan Bruce, Paulo A. Pereira",Manning,2018-09-15
9780262033848,Introduction to Algorithms,3rd Edition,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",MIT Press,2009-07-31
9780596007127,JavaScript: The Good Parts,,Douglas Crockford,O'Reilly Media,2008-05-15
9780596009207,Programming PHP,,"Rasmus Lerdorf, Kevin Tatroe, Peter MacIntyre",O'Reilly Media,2002-03-22
9780596007128,Programming Perl,Unmatched power for text processing and scripting,"Larry Wall, Tom Christiansen, Jon Orwant",O'Reilly Media,2000-07-01
9781449335588,Learning SQL,,Alan Beaulieu,O'Reilly Media,2009-04-01
9780134494166,Refactoring,Improving the Design of Existing Code,Martin Fowler,Addison-Wesley,2018-11-20
9780131101633,Structure and Interpretation of Computer Programs,2nd Edition,"Harold Abelson, Gerald Jay Sussman, Julie Sussman",MIT Press,1996-07-25
9781492077213,Cloud Native DevOps with Kubernetes,,"Justin Garrison, Kris Nova",O'Reilly Media,2021-01-20
9780132354790,Agile Software Development,"Principles, Patterns, and Practices",Robert C. Martin,Prentice Hall,2002-10-25
9780201485677,Refactoring to Patterns,,Joshua Kerievsky,Addison-Wesley,2004-08-30
9780321356680,Agile Estimating and Planning,,Mike Cohn,Prentice Hall,2005-11-15
9780596517748,JavaScript Patterns,,Stoyan Stefanov,O'Reilly Media,2010-09-09
9780596005672,Head First HTML and CSS,,"Elisabeth Robson, Eric Freeman",O'Reilly Media,2012-08-16
9780596007129,Head First Python,,Paul Barry,O'Reilly Media,2010-11-22
9780000000000,Sample Book 1,Subtitle 1,Author 1,Sample Publisher,2010-01-15
9780000000001,Sample Book 2,,Author 2,Sample Publisher,2011-02-15
9780000000002,Sample Book 3,,Author 3,Sample Publisher,2012-03-15
9780000000003,Sample Book 4,Subtitle 4,Author 4,Sample Publisher,2013-04-15
9780000000004,Sample Book 5,,Author 5,Sample Publisher,2014-05-15
9780000000005,Sample Book 6,,Author 6,Sample Publisher,2015-06-15
9780000000006,Sample Book 7,Subtitle 7,Author 7,Sample Publisher,2016-07-15
9780000000007,Sample Book 8,,Author 8,Sample Publisher,2017-08-15
9780000000008,Sample Book 9,,Author 9,Sample Publisher,2018-09-15
9780000000009,Sample Book 10,Subtitle 10,Author 10,Sample Publisher,2019-01-15
